Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
1,0.0,-0.188904,1.37875,0.0365046,-0.156195,0.0917846,0.125746,-0.226814,0.915673,0.193858,-0.195044,0.988777,0.294827,-0.475437,1.06153,0.168695,-0.0815918,0.0656314,0.0767124,-0.379031,0.415149,0.197338,-0.103989,0.9153,0.0469058,-0.216452,1.33582,0.224881,-0.322256,0.0619898,0.0608994,-0.370133,1.04562,0.155415,-0.401882,0.985852,0.176847,0.0523819,0.273151,-0.0820591,-0.271059,0.888943,-0.125507,-0.253658,1.04482,-0.254492,-0.457206,0.916338,-0.0177568,0.114648,0.313639,-0.00999421,-0.33236,0.39697,-0.105042,-0.114853,0.909842,-0.016035,-0.29977,1.35682,-0.124409,0.0304257,0.101874,-0.0610166,-0.360798,0.961475,-0.0617775,-0.383959,0.900084,-0.093764,-0.374414,1.12494,0.0743409
2,0.00999079,-0.186929,1.37786,0.0377693,-0.136835,0.0926588,0.125913,-0.225522,0.914446,0.194056,-0.215547,0.98615,0.295319,-0.485856,1.07478,0.158863,-0.061988,0.06655,0.0765752,-0.366755,0.41178,0.199544,-0.101574,0.914895,0.0479132,-0.219256,1.33557,0.226001,-0.30243,0.0619096,0.0609914,-0.382111,1.05361,0.150702,-0.417347,0.995229,0.169615,0.0355252,0.268114,-0.0840257,-0.267859,0.889782,-0.125669,-0.239008,1.04915,-0.258341,-0.450784,0.914465,-0.0316288,0.101441,0.306318,-0.0139426,-0.346276,0.400698,-0.103226,-0.112732,0.909203,-0.0150538,-0.294171,1.35766,-0.124942,0.00660191,0.0980489,-0.0609219,-0.353126,0.962135,-0.0712789,-0.374081,0.900463,-0.104708,-0.37443,1.12486,0.0725873
3,0.0199816,-0.186193,1.37892,0.0396948,-0.117392,0.0934404,0.125757,-0.224186,0.914302,0.194173,-0.235554,0.986596,0.296004,-0.495058,1.08972,0.149303,-0.0422115,0.0676344,0.0765425,-0.353287,0.408373,0.201108,-0.0996071,0.915706,0.0486124,-0.222666,1.33683,0.226825,-0.282556,0.0619245,0.061043,-0.392566,1.06322,0.145355,-0.431526,1.00663,0.162401,0.0182457,0.262413,-0.0858619,-0.264933,0.891557,-0.125819,-0.224603,1.05551,-0.261651,-0.444095,0.914973,-0.045364,0.0874878,0.297508,-0.0172867,-0.359536,0.406299,-0.101423,-0.109629,0.910531,-0.0152764,-0.288573,1.36013,-0.125231,-0.019056,0.0946163,-0.0614704,-0.34594,0.964577,-0.0810633,-0.363732,0.902938,-0.11509,-0.374749,1.1259,0.0705075
4,0.0299724,-0.186121,1.38149,0.0421313,-0.097869,0.0943268,0.125666,-0.222792,0.915197,0.194291,-0.255052,0.98972,0.296397,-0.502919,1.1061,0.140087,-0.0221604,0.0691016,0.0766702,-0.33902,0.405478,0.201333,-0.0982212,0.918003,0.0487505,-0.226257,1.33959,0.227565,-0.2626,0.062005,0.0610642,-0.401832,1.07438,0.139966,-0.444467,1.01984,0.155391,0.000482978,0.255678,-0.0872707,-0.262246,0.894613,-0.125832,-0.210575,1.0636,-0.264569,-0.437198,0.917724,-0.0587942,0.0727831,0.287172,-0.0199808,-0.37215,0.413585,-0.0997,-0.106555,0.913435,-0.0161403,-0.282991,1.36407,-0.125375,-0.0463048,0.0910425,-0.0618263,-0.338564,0.968926,-0.0904747,-0.35359,0.907447,-0.125127,-0.375305,1.12822,0.0680759
5,0.0399632,-0.186033,1.38494,0.0446083,-0.0783717,0.0954722,0.125758,-0.221607,0.917149,0.194332,-0.273799,0.995182,0.296312,-0.509386,1.12357,0.131288,-0.00228603,0.0708739,0.0767905,-0.323927,0.403614,0.200159,-0.0970767,0.921725,0.0482234,-0.230132,1.34378,0.228126,-0.242611,0.0620941,0.0610916,-0.409988,1.08672,0.134781,-0.456194,1.0345,0.148723,-0.0178338,0.248128,-0.0884055,-0.259732,0.899295,-0.125579,-0.196887,1.07297,-0.266814,-0.430173,0.922462,-0.0716805,0.0571803,0.275382,-0.0221723,-0.383933,0.42233,-0.0981502,-0.104972,0.917037,-0.0167852,-0.277415,1.36921,-0.125495,-0.074776,0.0872914,-0.0617018,-0.33072,0.974919,-0.0988038,-0.343782,0.913758,-0.13476,-0.376001,1.13192,0.0652459
6,0.049954,-0.185536,1.38893,0.0464841,-0.0591394,0.0970727,0.12603,-0.220737,0.920053,0.194276,-0.291551,1.00274,0.296102,-0.514538,1.14168,0.122969,0.0172509,0.0731578,0.0770377,-0.307626,0.403106,0.198232,-0.0963689,0.926703,0.0475594,-0.234378,1.34927,0.228399,-0.22266,0.0621282,0.061216,-0.416985,1.09986,0.129818,-0.466775,1.05016,0.142461,-0.0368033,0.239822,-0.0893201,-0.257989,0.904881,-0.125367,-0.183483,1.08331,-0.268392,-0.423123,0.928869,-0.0838242,0.0404563,0.262373,-0.0238525,-0.394699,0.432283,-0.0968491,-0.104516,0.921597,-0.0169743,-0.27206,1.37537,-0.125645,-0.10389,0.0831008,-0.0614493,-0.322902,0.982463,-0.106657,-0.334296,0.92156,-0.143957,-0.376651,1.1369,0.0618872
7,0.0599448,-0.184674,1.39344,0.0475337,-0.0403465,0.0993199,0.12656,-0.220267,0.923833,0.1941,-0.308101,1.01202,0.295819,-0.518561,1.16006,0.115146,0.0362665,0.0760837,0.0774003,-0.290883,0.404198,0.196103,-0.0955575,0.933099,0.0472772,-0.238989,1.35598,0.228345,-0.202698,0.0621493,0.0612962,-0.423312,1.11375,0.125226,-0.476193,1.06646,0.136596,-0.0564713,0.230898,-0.0900158,-0.256695,0.911338,-0.125214,-0.170581,1.09434,-0.269678,-0.416089,0.936587,-0.095137,0.022501,0.248341,-0.0250081,-0.404325,0.443175,-0.0959007,-0.103821,0.927791,-0.0169871,-0.267008,1.3823,-0.125741,-0.1339,0.0790699,-0.061271,-0.315695,0.991508,-0.114379,-0.325152,0.93052,-0.152723,-0.377114,1.14284,0.057948
8,0.0699355,-0.183773,1.39876,0.0481016,-0.0220832,0.102333,0.127295,-0.220455,0.928287,0.193829,-0.323299,1.0226,0.295372,-0.521703,1.17842,0.107804,0.0547045,0.0798912,0.0778596,-0.274446,0.406811,0.193832,-0.0949206,0.94079,0.0474966,-0.243914,1.36381,0.227911,-0.182765,0.0621681,0.0610513,-0.428967,1.12805,0.120913,-0.484152,1.08321,0.131015,-0.0768764,0.221604,-0.0905258,-0.255493,0.918825,-0.125109,-0.158274,1.1059,-0.270681,-0.408977,0.94527,-0.105672,0.00340341,0.233285,-0.0258567,-0.412718,0.4547,-0.0953808,-0.103037,0.935223,-0.0167672,-0.262375,1.38981,-0.125795,-0.165003,0.0755897,-0.0611069,-0.309476,1.00171,-0.122418,-0.316353,0.940301,-0.160992,-0.377422,1.14949,0.0534324
9,0.0799263,-0.183381,1.4051,0.0486637,-0.00445999,0.106161,0.128114,-0.221443,0.933385,0.193487,-0.337147,1.03415,0.294736,-0.524076,1.19647,0.100879,0.073207,0.0850727,0.078551,-0.258387,0.410665,0.191429,-0.094891,0.949396,0.0481461,-0.249076,1.37258,0.227049,-0.162677,0.0621844,0.0606139,-0.433911,1.14245,0.116796,-0.490976,1.09999,0.12567,-0.0982734,0.211864,-0.0907668,-0.2543,0.927274,-0.125055,-0.146599,1.11782,-0.271318,-0.401991,0.954642,-0.115457,-0.0170622,0.217591,-0.0263884,-0.419815,0.466486,-0.0953408,-0.102603,0.943312,-0.0162186,-0.258205,1.39776,-0.125962,-0.197042,0.0730933,-0.0607085,-0.302771,1.01205,-0.129541,-0.307934,0.950717,-0.168605,-0.377717,1.15707,0.0486909
10,0.0899171,-0.183794,1.41236,0.0494572,0.012418,0.110565,0.12905,-0.223057,0.939364,0.193137,-0.34969,1.04641,0.293928,-0.525724,1.2138,0.0943225,0.0912851,0.0915654,0.079525,-0.24245,0.415617,0.188862,-0.095627,0.958385,0.0490961,-0.254313,1.38207,0.225809,-0.142414,0.0622715,0.0607338,-0.438224,1.15672,0.112808,-0.497027,1.11643,0.120592,-0.120852,0.201778,-0.0909097,-0.253449,0.936314,-0.12507,-0.135633,1.12994,-0.27155,-0.395218,0.964449,-0.124563,-0.0390346,0.20157,-0.026688,-0.425309,0.478249,-0.095689,-0.10264,0.951734,-0.0153504,-0.254562,1.40607,-0.126279,-0.229832,0.0715754,-0.0599128,-0.29574,1.02241,-0.135763,-0.299827,0.961476,-0.175609,-0.378001,1.16528,0.0438377
