Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
1,0.0,-0.195669,1.4131,-0.0446556,-0.614616,0.104996,0.127838,-0.284493,0.947046,0.13876,-0.109828,1.07536,0.255392,0.026201,0.772037,0.298696,-0.5674,0.0428944,0.0750504,-0.492213,0.484861,0.131935,-0.14707,0.953073,0.012773,-0.220913,1.38915,0.140365,-0.769932,0.164755,0.0631652,-0.0403894,0.834365,0.246048,0.0105337,0.869513,0.285314,0.0749238,0.121734,-0.119325,-0.431332,1.07957,-0.27895,-0.712756,0.919598,-0.167046,0.16101,0.0984675,-0.0618359,-0.14767,0.468299,-0.151182,-0.151865,0.954928,-0.0497641,-0.305369,1.39668,-0.194512,-0.0658933,0.058586,-0.0563824,-0.61446,0.972375,-0.145093,-0.618993,0.922892,-0.199214,-0.388353,1.17571,0.00832197
2,0.00999063,-0.19708,1.41178,-0.0430456,-0.60797,0.100909,0.12695,-0.286858,0.946544,0.140039,-0.110403,1.07398,0.256903,0.0247355,0.770382,0.299238,-0.557166,0.0440658,0.0743889,-0.497702,0.484125,0.132087,-0.149251,0.951552,0.0141018,-0.221605,1.38765,0.141982,-0.76661,0.15305,0.0609509,-0.0417201,0.832716,0.247595,0.0096391,0.867809,0.28637,0.0841271,0.125485,-0.120601,-0.431197,1.0778,-0.276917,-0.711456,0.914841,-0.166613,0.170842,0.104506,-0.0630183,-0.147171,0.46736,-0.151497,-0.154024,0.953185,-0.0483133,-0.307309,1.3957,-0.192531,-0.052769,0.0583644,-0.0562502,-0.613804,0.968565,-0.143957,-0.617565,0.919015,-0.198181,-0.389678,1.17466,0.010425
3,0.0199813,-0.198474,1.41057,-0.0414122,-0.601234,0.0979608,0.126365,-0.28984,0.946369,0.141405,-0.111435,1.07255,0.258387,0.0219823,0.768094,0.300166,-0.547867,0.045551,0.073568,-0.502525,0.483184,0.131896,-0.151722,0.950388,0.015771,-0.222343,1.38627,0.143572,-0.762903,0.141362,0.0588448,-0.0440906,0.830913,0.249023,0.00783191,0.865648,0.287315,0.092664,0.129713,-0.121916,-0.430749,1.07607,-0.274886,-0.70942,0.909322,-0.166402,0.180388,0.111601,-0.0638106,-0.147315,0.466395,-0.151609,-0.156516,0.951828,-0.0465979,-0.309387,1.39494,-0.19051,-0.0395962,0.0579801,-0.0563232,-0.612631,0.96421,-0.142954,-0.615404,0.914734,-0.197196,-0.391243,1.17387,0.0125214
4,0.0299719,-0.1998,1.40949,-0.0397492,-0.594887,0.0960796,0.12606,-0.29342,0.946513,0.142835,-0.112923,1.07109,0.259851,0.0180083,0.76502,0.30194,-0.539289,0.0474759,0.0728901,-0.506554,0.482341,0.131651,-0.154478,0.949521,0.0178441,-0.22313,1.38503,0.145164,-0.7587,0.130026,0.0569011,-0.0475586,0.828941,0.250392,0.00507184,0.862969,0.288209,0.100382,0.134334,-0.123266,-0.430023,1.0744,-0.272851,-0.706656,0.90305,-0.16642,0.189088,0.119396,-0.0643914,-0.148185,0.46543,-0.151605,-0.159293,0.950876,-0.0445735,-0.311417,1.39435,-0.188392,-0.0264679,0.0574747,-0.0566054,-0.610915,0.959327,-0.142107,-0.612563,0.909987,-0.196426,-0.393159,1.17337,0.0145616
5,0.0399625,-0.201035,1.40851,-0.0380496,-0.588698,0.0942537,0.125563,-0.297572,0.946977,0.14431,-0.114868,1.06959,0.261263,0.0129148,0.761934,0.303499,-0.530762,0.0496557,0.0726634,-0.50977,0.481901,0.131889,-0.157583,0.948977,0.020362,-0.223997,1.3839,0.146797,-0.753846,0.119034,0.0552713,-0.05196,0.826728,0.251649,0.00153813,0.860085,0.28887,0.107333,0.138953,-0.124182,-0.429032,1.0728,-0.270821,-0.703132,0.896061,-0.166672,0.196683,0.12771,-0.0647564,-0.149982,0.464433,-0.151676,-0.162329,0.950296,-0.0421989,-0.313351,1.39397,-0.186256,-0.0131846,0.0567172,-0.0570918,-0.608617,0.953932,-0.141465,-0.609027,0.904833,-0.19595,-0.395542,1.17323,0.0165444
6,0.0499531,-0.202237,1.40769,-0.0362742,-0.582279,0.092241,0.12524,-0.3022,0.947762,0.145769,-0.117249,1.06806,0.262556,0.00677084,0.758896,0.304766,-0.521657,0.0520133,0.0729361,-0.512552,0.48189,0.13274,-0.161324,0.948684,0.0232888,-0.224969,1.38292,0.148494,-0.748212,0.108503,0.0541394,-0.0569595,0.824323,0.252624,-0.00286605,0.857079,0.289371,0.113373,0.143698,-0.12482,-0.427742,1.07132,-0.268792,-0.698836,0.888415,-0.167154,0.203077,0.13671,-0.0648519,-0.152884,0.463319,-0.151832,-0.165609,0.950031,-0.0394812,-0.315035,1.39383,-0.184147,-4.43171e-05,0.0560804,-0.0574073,-0.605752,0.948129,-0.140983,-0.604779,0.899333,-0.195748,-0.39833,1.1735,0.0185066
7,0.0599438,-0.203502,1.40711,-0.0344066,-0.575026,0.0904963,0.125187,-0.307121,0.948771,0.147148,-0.120075,1.0665,0.263697,-0.000440254,0.755768,0.305963,-0.511863,0.0542901,0.0734429,-0.515627,0.482412,0.133826,-0.1657,0.948666,0.0264749,-0.226095,1.38213,0.150254,-0.741678,0.0987808,0.0537396,-0.0630676,0.821924,0.253641,-0.00814131,0.853893,0.289735,0.118332,0.148869,-0.125429,-0.426112,1.06999,-0.266726,-0.69373,0.88017,-0.167899,0.207985,0.146414,-0.0646809,-0.15708,0.461978,-0.152106,-0.169041,0.949998,-0.0364934,-0.316481,1.39394,-0.18217,0.0126665,0.0555918,-0.0575424,-0.602297,0.942034,-0.140575,-0.599833,0.893518,-0.195848,-0.401375,1.17418,0.0204765
8,0.0699344,-0.204823,1.40681,-0.0324325,-0.566707,0.0894132,0.125494,-0.312141,0.949934,0.148456,-0.123386,1.06494,0.264728,-0.00870814,0.752518,0.307117,-0.502025,0.0560023,0.0737701,-0.519456,0.483395,0.134826,-0.169385,0.949182,0.0296794,-0.227393,1.38158,0.152074,-0.734144,0.090445,0.0541739,-0.0702975,0.819516,0.254675,-0.0142947,0.850567,0.289978,0.121979,0.154524,-0.125886,-0.424144,1.06883,-0.264588,-0.687773,0.871374,-0.168942,0.2112,0.156937,-0.064275,-0.162745,0.460388,-0.152688,-0.17259,0.950093,-0.0334276,-0.317699,1.39431,-0.180355,0.0246588,0.0552956,-0.057414,-0.598193,0.935683,-0.14027,-0.594209,0.887465,-0.196303,-0.404545,1.1752,0.022449
9,0.079925,-0.206148,1.40678,-0.0303982,-0.557432,0.0889435,0.125779,-0.317047,0.951206,0.149728,-0.127186,1.06344,0.265631,-0.0180347,0.749161,0.308028,-0.491099,0.057572,0.0742713,-0.523859,0.484225,0.135739,-0.173187,0.95001,0.0327445,-0.228865,1.3813,0.153939,-0.725495,0.0835868,0.0551063,-0.0784653,0.817075,0.255624,-0.0213467,0.84715,0.290101,0.124124,0.160552,-0.125945,-0.422069,1.06784,-0.262546,-0.680911,0.862145,-0.170205,0.212457,0.168535,-0.0636284,-0.169978,0.458599,-0.153852,-0.1765,0.950135,-0.0306356,-0.318767,1.39489,-0.1787,0.0359011,0.055365,-0.0573383,-0.593449,0.928759,-0.140584,-0.587846,0.881258,-0.197081,-0.407757,1.17647,0.0244107
10,0.0899157,-0.207439,1.407,-0.0283839,-0.547468,0.0888243,0.125714,-0.321506,0.952504,0.150998,-0.131508,1.06201,0.266456,-0.0284019,0.745746,0.308628,-0.479616,0.0587689,0.0746758,-0.52828,0.484617,0.136652,-0.176275,0.951158,0.0355313,-0.230516,1.3813,0.155818,-0.71584,0.0779227,0.0557691,-0.0875811,0.814725,0.256484,-0.0292811,0.843694,0.29009,0.124759,0.167053,-0.125625,-0.419849,1.067,-0.260584,-0.673151,0.852577,-0.171791,0.211666,0.181369,-0.0628772,-0.178605,0.456596,-0.155601,-0.180808,0.95006,-0.0284349,-0.319728,1.39563,-0.177172,0.0461785,0.056021,-0.0572915,-0.588071,0.921454,-0.141358,-0.580668,0.875017,-0.198057,-0.410904,1.17787,0.0262991
