Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
1,0.0,-0.108762,1.44613,-0.0587691,0.135188,0.2048,0.133286,-0.206285,0.976467,0.120155,-0.227397,1.08561,0.22356,-0.371046,0.784927,0.206137,0.205286,0.23887,0.0749081,-0.177902,0.460032,0.160848,-0.0809544,0.985778,-0.0241408,-0.183612,1.43505,0.118065,0.0565936,0.0712663,0.0766035,-0.339125,0.870721,0.157412,-0.296096,0.849,0.212306,-0.301753,0.0938213,-0.148681,-0.243832,0.980448,-0.193924,-0.179279,1.07705,-0.314382,-0.226682,0.730886,-0.32995,-0.228074,0.0591676,-0.089757,-0.34749,0.497204,-0.169242,-0.0858408,0.980857,-0.0874846,-0.192637,1.42189,-0.229666,-0.465848,0.061161,-0.0935456,-0.23174,0.829765,-0.272999,-0.185285,0.820727,-0.329424,-0.320006,1.21555,-0.0422902
2,0.00999104,-0.109075,1.44732,-0.062019,0.131427,0.212385,0.131031,-0.204445,0.977348,0.117963,-0.221839,1.08656,0.221149,-0.361448,0.783682,0.206104,0.196784,0.250933,0.0726304,-0.186836,0.460404,0.161029,-0.0804315,0.986098,-0.0273134,-0.181879,1.43604,0.115624,0.0553226,0.0718705,0.0763112,-0.331639,0.869815,0.156613,-0.287408,0.848766,0.210521,-0.293861,0.0938421,-0.148898,-0.24497,0.981168,-0.195825,-0.18383,1.07838,-0.316858,-0.234583,0.732636,-0.33062,-0.220093,0.0591295,-0.0899463,-0.343157,0.496953,-0.17017,-0.0858809,0.981694,-0.0905933,-0.194963,1.42333,-0.231773,-0.458083,0.0611091,-0.0934289,-0.237467,0.831588,-0.273998,-0.192108,0.822029,-0.331062,-0.320603,1.21674,-0.0433697
3,0.0199821,-0.109263,1.44854,-0.0651822,0.126745,0.219484,0.128799,-0.202358,0.978363,0.116266,-0.216429,1.08726,0.218671,-0.35168,0.782334,0.205962,0.188408,0.261384,0.0694072,-0.195772,0.46121,0.161008,-0.0796887,0.986529,-0.0302191,-0.179915,1.43712,0.113275,0.0542155,0.0716909,0.075853,-0.324012,0.868829,0.155847,-0.278458,0.848529,0.209137,-0.286,0.0938371,-0.149167,-0.246153,0.981793,-0.197513,-0.188477,1.07966,-0.319314,-0.242582,0.734309,-0.331218,-0.212013,0.0592542,-0.0902204,-0.338669,0.496706,-0.171181,-0.0856996,0.982792,-0.0935178,-0.197366,1.42468,-0.233839,-0.450288,0.0612187,-0.0934237,-0.2434,0.833382,-0.274921,-0.199202,0.823294,-0.33266,-0.320776,1.21787,-0.0441502
4,0.0299731,-0.109337,1.44976,-0.0683052,0.121447,0.225898,0.126475,-0.200017,0.979463,0.114706,-0.211075,1.08782,0.216223,-0.341793,0.780988,0.20581,0.180674,0.269679,0.0652659,-0.204674,0.462478,0.160823,-0.0786349,0.987107,-0.0328498,-0.177762,1.43805,0.11103,0.0528439,0.0718047,0.0758219,-0.316213,0.867776,0.155108,-0.269388,0.848236,0.2078,-0.278106,0.0938153,-0.149428,-0.246935,0.9825,-0.199005,-0.193244,1.08086,-0.321734,-0.250846,0.735987,-0.331761,-0.203672,0.0595384,-0.0905027,-0.334044,0.496415,-0.172249,-0.085536,0.984035,-0.0961838,-0.199819,1.42596,-0.235867,-0.442276,0.0612923,-0.0936838,-0.249538,0.835156,-0.275779,-0.206578,0.824495,-0.334199,-0.320588,1.21893,-0.0446749
5,0.0399642,-0.109323,1.45099,-0.0713676,0.116481,0.23179,0.123742,-0.197856,0.980642,0.113177,-0.205741,1.0883,0.213833,-0.331835,0.779734,0.205705,0.173433,0.275866,0.0605854,-0.213386,0.464096,0.160609,-0.0772004,0.987859,-0.0351707,-0.175413,1.4388,0.108858,0.0502521,0.0744531,0.0768709,-0.308239,0.866661,0.154355,-0.260278,0.847929,0.206472,-0.27009,0.0938337,-0.149701,-0.24734,0.983277,-0.200412,-0.198143,1.08202,-0.324093,-0.259401,0.73772,-0.332239,-0.19532,0.0598325,-0.090326,-0.32919,0.496074,-0.173355,-0.0856352,0.985271,-0.0984942,-0.20215,1.42712,-0.237764,-0.434179,0.0612708,-0.0939263,-0.255867,0.836926,-0.276577,-0.214213,0.825631,-0.335615,-0.320514,1.21988,-0.0449954
6,0.0499552,-0.109234,1.4522,-0.0743469,0.111893,0.237708,0.120612,-0.196257,0.981944,0.111564,-0.200397,1.08873,0.211501,-0.321807,0.77861,0.205641,0.166914,0.280613,0.0551391,-0.2217,0.465976,0.160276,-0.0758966,0.988679,-0.037226,-0.172992,1.43954,0.106786,0.0450288,0.07941,0.0788229,-0.30012,0.865524,0.153573,-0.251163,0.847634,0.205165,-0.262026,0.093912,-0.149991,-0.247427,0.984064,-0.201777,-0.203188,1.08313,-0.326396,-0.268216,0.739488,-0.33262,-0.187278,0.0598584,-0.0905418,-0.323981,0.49568,-0.174488,-0.0854189,0.986454,-0.100443,-0.204298,1.42816,-0.239525,-0.426084,0.0612205,-0.0940915,-0.26239,0.838693,-0.277296,-0.222067,0.826691,-0.336907,-0.319971,1.22076,-0.0450673
7,0.0599462,-0.109061,1.45337,-0.0772705,0.107042,0.243356,0.117333,-0.194911,0.983293,0.10995,-0.195031,1.08912,0.209213,-0.311711,0.77756,0.205599,0.160586,0.28407,0.0491836,-0.229481,0.468055,0.159866,-0.0747777,0.989549,-0.0390389,-0.170362,1.44018,0.104746,0.0377941,0.0847536,0.0817351,-0.291889,0.864403,0.15277,-0.242022,0.847368,0.203822,-0.253971,0.0940236,-0.150196,-0.247068,0.984834,-0.203127,-0.208508,1.08419,-0.328499,-0.277273,0.74131,-0.332912,-0.179492,0.0598632,-0.0907136,-0.31836,0.495261,-0.175638,-0.0843353,0.987553,-0.102201,-0.206242,1.42912,-0.241152,-0.418006,0.0611622,-0.0942132,-0.269082,0.840461,-0.277917,-0.230135,0.827876,-0.338243,-0.318977,1.22152,-0.0450318
8,0.0699373,-0.108787,1.45449,-0.0801121,0.101552,0.24805,0.114034,-0.193726,0.9847,0.108368,-0.189488,1.08963,0.207036,-0.301535,0.776584,0.205565,0.153963,0.28592,0.0432232,-0.236658,0.470305,0.159564,-0.0737031,0.990475,-0.04063,-0.167663,1.44084,0.102774,0.0291859,0.0895002,0.0847618,-0.283573,0.86334,0.152007,-0.232832,0.847158,0.202474,-0.246046,0.0940476,-0.150262,-0.246284,0.985576,-0.204537,-0.214099,1.0852,-0.330322,-0.286696,0.743246,-0.333261,-0.171323,0.0600291,-0.0909393,-0.3124,0.494863,-0.176773,-0.08312,0.988593,-0.103745,-0.20811,1.43005,-0.242702,-0.409937,0.0610665,-0.0942678,-0.275915,0.842247,-0.27844,-0.238406,0.829172,-0.339556,-0.31771,1.22215,-0.0449374
9,0.0799283,-0.108391,1.45557,-0.082873,0.0952941,0.251355,0.11069,-0.192524,0.986262,0.106865,-0.183874,1.09012,0.20489,-0.291409,0.775753,0.20567,0.146752,0.28627,0.0374994,-0.243351,0.472686,0.159374,-0.0726005,0.991485,-0.0420334,-0.164877,1.4415,0.10083,0.0198283,0.0932369,0.0875533,-0.27524,0.862373,0.151285,-0.223616,0.84706,0.201187,-0.238123,0.0940917,-0.150335,-0.245514,0.98602,-0.206175,-0.219624,1.08624,-0.33209,-0.296241,0.745297,-0.333539,-0.163445,0.060039,-0.0912256,-0.306174,0.494515,-0.177864,-0.081958,0.989538,-0.105086,-0.209868,1.43098,-0.244193,-0.401883,0.0609322,-0.0942524,-0.28286,0.844057,-0.278872,-0.246792,0.830488,-0.340721,-0.316228,1.22269,-0.044818
10,0.0899194,-0.107826,1.45663,-0.0855371,0.0883255,0.253363,0.107388,-0.191444,0.987931,0.105323,-0.178193,1.0906,0.202791,-0.281185,0.775112,0.205866,0.1389,0.285448,0.0322015,-0.249749,0.475222,0.159083,-0.0715451,0.992553,-0.0432714,-0.161947,1.44209,0.0988638,0.00997755,0.0958674,0.0899858,-0.266882,0.861505,0.150454,-0.214367,0.84704,0.199898,-0.230165,0.0941739,-0.150513,-0.244268,0.986462,-0.207852,-0.225114,1.08734,-0.33381,-0.305834,0.747487,-0.333736,-0.155624,0.0600196,-0.0913326,-0.29974,0.494215,-0.178848,-0.0809185,0.990387,-0.106282,-0.211372,1.43188,-0.245575,-0.393846,0.060908,-0.0943439,-0.289867,0.845907,-0.279195,-0.255261,0.831849,-0.341784,-0.314532,1.22318,-0.0447448
